entry,expiry,year,spot_entry,vix9d,vix3m,contango,short_strike,long_strike,credit,payout,pnl,win
2016-08-12,2016-08-19,2016,218.46,0.09539999999999998,0.15259999999999999,1.59958071278826,210,205.0,0.002362304071272403,0.0,0.002362304071272403,True
2016-08-19,2016-08-26,2016,218.54,0.094,0.15130000000000002,1.6095744680851065,210,205.0,0.0018775645569538547,0.0,0.0018775645569538547,True
2016-08-26,2016-09-02,2016,217.29,0.121,0.1624,1.3421487603305784,210,205.0,0.03599049305825913,0.0,0.03599049305825913,True
2016-09-02,2016-09-09,2016,218.37,0.091,0.1565,1.7197802197802199,210,205.0,0.0016432831368994828,0.0,0.0016432831368994828,True
2016-09-09,2016-09-16,2016,213.28,0.18780000000000002,0.1883,1.0026624068157612,205,200.0,0.13152802414053744,0.0,0.13152802414053744,True
2016-09-16,2016-09-23,2016,213.36,0.1527,0.1788,1.1709233791748526,205,200.0,0.05408107246141208,0.0,0.05408107246141208,True
2016-09-23,2016-09-30,2016,216.02,0.1139,0.1605,1.4091308165057068,205,200.0,0.0008124778919561143,0.0,0.0008124778919561143,True
2016-09-30,2016-10-07,2016,216.35,0.12369999999999999,0.1637,1.3233629749393696,205,200.0,0.0014444410845251814,0.0,0.0014444410845251814,True
2016-10-07,2016-10-14,2016,215.03,0.11470000000000001,0.16440000000000002,1.4333042720139495,205,200.0,0.002266364767474302,0.0,0.002266364767474302,True
2016-10-14,2016-10-21,2016,213.06,0.1294,0.17420000000000002,1.3462132921174654,205,200.0,0.02695382795231714,0.0,0.02695382795231714,True
2016-10-21,2016-10-28,2016,213.89,0.10679999999999999,0.1604,1.5018726591760299,205,200.0,0.003425586422254656,0.0,0.003425586422254656,True
2016-10-28,2016-11-04,2016,212.5,0.16690000000000002,0.17370000000000002,1.0407429598562012,205,200.0,0.1202324406867723,0.0,0.1202324406867723,True
2016-11-04,2016-11-11,2016,208.56,0.2882,0.2113,0.7331714087439277,200,195.0,0.34665549206649526,0.0,0.34665549206649526,True
2016-11-11,2016-11-18,2016,216.45,0.1284,0.1649,1.2842679127725858,205,200.0,0.0019270666567305743,0.0,0.0019270666567305743,True
2016-11-18,2016-11-25,2016,218.48,0.0863,0.1552,1.79837775202781,210,205.0,0.0008211369577084491,0.0,0.0008211369577084491,True
2016-11-25,2016-12-02,2016,221.52,0.1043,0.1551,1.4870565675934801,210,205.0,0.00022174726628540692,0.0,0.00022174726628540692,True
2016-12-02,2016-12-09,2016,219.6108,0.1364,0.1678,1.2302052785923754,210,205.0,0.01563502031139171,0.0,0.01563502031139171,True
2016-12-09,2016-12-16,2016,226.53,0.111,0.1522,1.3711711711711712,215,210.0,0.0006514009496602749,0.0,0.0006514009496602749,True
2016-12-16,2016-12-23,2016,225.05,0.1067,0.1557,1.4592314901593253,215,210.0,0.0018017170702531653,0.0,0.0018017170702531653,True
2016-12-23,2016-12-30,2016,225.7,0.0898,0.1525,1.698218262806236,215,210.0,0.00010627118174849131,0.0,0.00010627118174849131,True
2016-12-30,2017-01-06,2016,223.52,0.1268,0.1654,1.3044164037854888,215,210.0,0.0239069167134649,0.0,0.0239069167134649,True
2017-01-06,2017-01-13,2017,227.25,0.0919,0.1456,1.5843307943416758,220,215.0,0.00878283898286554,0.0,0.00878283898286554,True
2017-01-13,2017-01-20,2017,227.04,0.08990000000000001,0.1454,1.6173526140155727,220,215.0,0.009107915685267528,0.0,0.009107915685267528,True
2017-01-20,2017-01-27,2017,226.74,0.09720000000000001,0.1449,1.4907407407407407,215,210.0,8.95586606643383e-05,0.0,8.95586606643383e-05,True
2017-01-27,2017-02-03,2017,228.99,0.09359999999999999,0.1368,1.4615384615384617,220,215.0,0.0018006710354124024,0.0,0.0018006710354124024,True
2017-02-03,2017-02-10,2017,229.35,0.0919,0.1405,1.5288356909684442,220,215.0,0.001004887124447682,0.0,0.001004887124447682,True
2017-02-10,2017-02-17,2017,231.49,0.0902,0.1391,1.5421286031042127,220,215.0,5.702504186333438e-05,0.0,5.702504186333438e-05,True
2017-02-17,2017-02-24,2017,235.04,0.09029999999999999,0.13720000000000002,1.5193798449612406,225,220.0,0.000489679496265572,0.0,0.000489679496265572,True
2017-02-24,2017-03-03,2017,236.77,0.0941,0.1476,1.5685441020191286,225,220.0,0.00010811143287822928,0.0,0.00010811143287822928,True
2017-03-03,2017-03-10,2017,238.43,0.08560000000000001,0.1426,1.6658878504672896,230,225.0,0.0021473469772220824,0.0,0.0021473469772220824,True
2017-03-10,2017-03-17,2017,237.66,0.1067,0.1438,1.3477038425492034,230,225.0,0.02361939714090401,0.0,0.02361939714090401,True
2017-03-17,2017-03-24,2017,237.1008,0.0987,0.1392,1.4103343465045592,225,220.0,0.00014532610362941317,0.0,0.00014532610362941317,True
2017-03-24,2017-03-31,2017,233.88,0.1343,0.14550000000000002,1.0833953834698438,225,220.0,0.03549376380881045,0.0,0.03549376380881045,True
2017-03-31,2017-04-07,2017,235.68,0.0966,0.136,1.4078674948240166,225,220.0,0.0005378312972919751,0.0,0.0005378312972919751,True
2017-04-07,2017-04-13,2017,235.17,0.10060000000000001,0.1406,1.3976143141153081,225,220.0,0.0005786810721001087,0.0,0.0005786810721001087,True
2017-04-21,2017-04-28,2017,234.59,0.1709,0.1475,0.8630778232884727,225,220.0,0.08037906000467454,0.0,0.08037906000467454,True
2017-04-28,2017-05-05,2017,238.12,0.0942,0.1293,1.3726114649681527,230,225.0,0.006800039257541916,0.0,0.006800039257541916,True
2017-05-05,2017-05-12,2017,239.68,0.1144,0.1285,1.1232517482517483,230,225.0,0.008570264644939245,0.0,0.008570264644939245,True
2017-05-12,2017-05-19,2017,239.05,0.094,0.1297,1.3797872340425532,230,225.0,0.002774167516899736,0.0,0.002774167516899736,True
2017-05-19,2017-05-26,2017,238.27,0.10980000000000001,0.1349,1.2285974499089252,230,225.0,0.018175913408807552,0.0,0.018175913408807552,True
2017-05-26,2017-06-02,2017,241.73,0.076,0.1244,1.6368421052631579,230,225.0,4.283747439909689e-06,0.0,4.283747439909689e-06,True
2017-06-02,2017-06-09,2017,244.14,0.08470000000000001,0.1246,1.471074380165289,235,230.0,0.0011064711181876128,0.0,0.0011064711181876128,True
2017-06-09,2017-06-16,2017,243.5208,0.10369999999999999,0.12960000000000002,1.2497589199614276,235,230.0,0.01190747939117915,0.0,0.01190747939117915,True
2017-06-16,2017-06-23,2017,242.64,0.0833,0.12710000000000002,1.5258103241296521,235,230.0,0.004726750969845673,0.0,0.004726750969845673,True
2017-06-23,2017-06-30,2017,243.16,0.08380000000000001,0.12359999999999999,1.4749403341288778,235,230.0,0.0028988663391623206,0.0,0.0028988663391623206,True
2017-06-30,2017-07-07,2017,241.79,0.0993,0.13140000000000002,1.3232628398791542,230,225.0,0.00030486565793179225,0.0,0.00030486565793179225,True
2017-07-07,2017-07-14,2017,242.1,0.0926,0.1352,1.4600431965442764,230,225.0,8.005831028277415e-05,0.0,8.005831028277415e-05,True
2017-07-14,2017-07-21,2017,245.51,0.0755,0.1223,1.6198675496688744,235,230.0,3.959774369497016e-05,0.0,3.959774369497016e-05,True
2017-07-21,2017-07-28,2017,246.83,0.071,0.1206,1.6985915492957748,235,230.0,1.3611594569873862e-06,0.0,1.3611594569873862e-06,True
2017-07-28,2017-08-04,2017,246.89,0.0855,0.1258,1.4713450292397658,235,230.0,4.255233188079449e-05,0.0,4.255233188079449e-05,True
2017-08-04,2017-08-11,2017,247.39,0.0858,0.1275,1.486013986013986,235,230.0,2.2947014098109564e-05,0.0,2.2947014098109564e-05,True
2017-08-11,2017-08-18,2017,244.11,0.1553,0.16390000000000002,1.0553766902768835,235,230.0,0.08124737384917935,0.0,0.08124737384917935,True
2017-08-18,2017-08-25,2017,242.71,0.1317,0.1565,1.1883067577828397,235,230.0,0.07735850294465041,0.0,0.07735850294465041,True
2017-08-25,2017-09-01,2017,244.52,0.0897,0.1399,1.5596432552954291,235,230.0,0.0013511851078568534,0.0,0.0013511851078568534,True
2017-09-01,2017-09-08,2017,247.81,0.0794,0.1359,1.7115869017632241,240,235.0,0.0031379652901267862,0.0,0.0031379652901267862,True
2017-09-08,2017-09-15,2017,246.54,0.11289999999999999,0.1469,1.301151461470328,235,230.0,0.002144084589266781,0.0,0.002144084589266781,True
2017-09-15,2017-09-22,2017,249.23,0.083,0.12960000000000002,1.5614457831325304,240,235.0,0.0010172965848719402,0.0,0.0010172965848719402,True
2017-09-22,2017-09-29,2017,249.45,0.07980000000000001,0.1285,1.6102756892230574,240,235.0,0.0004984144167054148,0.0,0.0004984144167054148,True
2017-09-29,2017-10-06,2017,251.16,0.0795,0.1249,1.571069182389937,240,235.0,5.059759210744904e-05,0.0,5.059759210744904e-05,True
2017-10-06,2017-10-13,2017,254.43,0.0788,0.1244,1.5786802030456852,245,240.0,0.0005671904183745804,0.0,0.0005671904183745804,True
2017-10-13,2017-10-20,2017,254.88,0.0803,0.1198,1.4919053549190537,245,240.0,0.0004150380739378573,0.0,0.0004150380739378573,True
2017-10-20,2017-10-27,2017,257.07,0.08410000000000001,0.1185,1.4090368608799047,245,240.0,5.169917238555765e-05,0.0,5.169917238555765e-05,True
2017-10-27,2017-11-03,2017,257.6895,0.0861,0.1223,1.4204413472706157,245,240.0,3.413586079106395e-05,0.0,3.413586079106395e-05,True
2017-11-03,2017-11-10,2017,258.45,0.0784,0.1242,1.584183673469388,250,245.0,0.0020722884272862466,0.0,0.0020722884272862466,True
2017-11-10,2017-11-17,2017,258.1,0.10310000000000001,0.1361,1.32007759456838,250,245.0,0.024128955694996346,0.0,0.024128955694996346,True
2017-11-17,2017-11-24,2017,257.87,0.0849,0.138,1.6254416961130742,250,245.0,0.007477222780078813,0.0,0.007477222780078813,True
2017-11-24,2017-12-01,2017,260.37,0.0787,0.1242,1.5781448538754765,250,245.0,0.00022965928450473602,0.0,0.00022965928450473602,True
2017-12-01,2017-12-08,2017,264.46,0.1198,0.1328,1.1085141903171953,255,250.0,0.028704977712213448,0.0,0.028704977712213448,True
2017-12-08,2017-12-15,2017,265.48,0.08439999999999999,0.1246,1.4763033175355453,255,250.0,0.0006353447642782728,0.0,0.0006353447642782728,True
2017-12-15,2017-12-22,2017,266.53,0.0825,0.1208,1.4642424242424241,255,250.0,0.00014211561095341652,0.0,0.00014211561095341652,True
2017-12-22,2017-12-29,2017,267.49,0.0751,0.1249,1.663115845539281,255,250.0,8.165022699375026e-06,0.0,8.165022699375026e-06,True
2017-12-29,2018-01-05,2017,266.94,0.1042,0.1309,1.2562380038387715,255,250.0,0.001643275275902573,0.0,0.001643275275902573,True
2018-01-05,2018-01-12,2018,273.4,0.077,0.1206,1.5662337662337662,265,260.0,0.0032639464597446046,0.0,0.0032639464597446046,True
2018-01-12,2018-01-19,2018,277.94,0.0868,0.122,1.4055299539170507,265,260.0,0.00010415827394243975,0.0,0.00010415827394243975,True
2018-01-19,2018-01-26,2018,280.39,0.1041,0.1304,1.2526416906820363,270,265.0,0.00924363813578722,0.0,0.00924363813578722,True
2018-01-26,2018-02-02,2018,286.56,0.10460000000000001,0.1346,1.2868068833652007,275,270.0,0.004918610983204435,0.0,0.004918610983204435,True
2018-02-02,2018-02-09,2018,275.51,0.1886,0.1703,0.9029692470837752,265,260.0,0.16893774292486174,3.259999999999991,-3.091062257075129,False
2018-02-09,2018-02-16,2018,261.74,0.3164,0.2492,0.7876106194690266,250,245.0,0.3768923690440271,0.0,0.3768923690440271,True
2018-02-16,2018-02-23,2018,273.16,0.1868,0.1917,1.0262312633832977,260,255.0,0.062295196640592354,0.0,0.062295196640592354,True
2018-02-23,2018-03-02,2018,274.65,0.14980000000000002,0.175,1.1682242990654204,265,260.0,0.09798468597879229,0.0,0.09798468597879229,True
2018-03-02,2018-03-09,2018,269.08,0.1887,0.1986,1.0524642289348172,260,255.0,0.24149373682773234,0.0,0.24149373682773234,True
2018-03-09,2018-03-16,2018,278.76,0.1353,0.17010000000000003,1.2572062084257207,270,265.0,0.10132520585688876,0.0,0.10132520585688876,True
2018-03-16,2018-03-23,2018,274.22,0.1493,0.17739999999999997,1.18821165438714,265,260.0,0.11456988552979985,5.0,-4.8854301144702,False
2018-03-23,2018-03-29,2018,258.015,0.2822,0.2279,0.8075832742735648,250,245.0,0.5319283875153982,0.0,0.5319283875153982,True
2018-04-06,2018-04-13,2018,259.7,0.2306,0.212,0.9193408499566348,250,245.0,0.30238423115626656,0.0,0.30238423115626656,True
2018-04-13,2018-04-20,2018,265.11,0.1636,0.1855,1.1338630806845966,255,250.0,0.09829846653960272,0.0,0.09829846653960272,True
2018-04-20,2018-04-27,2018,266.66,0.1623,0.1772,1.0918052988293283,255,250.0,0.05084021153039475,0.0,0.05084021153039475,True
2018-04-27,2018-05-04,2018,266.58,0.1444,0.17079999999999998,1.1828254847645427,255,250.0,0.027849545241072443,0.0,0.027849545241072443,True
2018-05-04,2018-05-11,2018,265.92,0.1386,0.16649999999999998,1.201298701298701,255,250.0,0.030515093661796666,0.0,0.030515093661796666,True
2018-05-11,2018-05-18,2018,272.64,0.1124,0.1482,1.3185053380782918,260,255.0,0.0024884074130243896,0.0,0.0024884074130243896,True
2018-05-18,2018-05-25,2018,271.34,0.1148,0.1519,1.3231707317073171,260,255.0,0.00757143096966276,0.0,0.00757143096966276,True
2018-05-25,2018-06-01,2018,272.21,0.11460000000000001,0.1483,1.2940663176265268,260,255.0,0.004083201158568415,0.0,0.004083201158568415,True
2018-06-01,2018-06-08,2018,273.61,0.1144,0.1527,1.3347902097902098,265,260.0,0.0453718722987036,0.0,0.0453718722987036,True
2018-06-08,2018-06-15,2018,278.22,0.11560000000000001,0.146,1.2629757785467126,265,260.0,0.0026069288213889322,0.0,0.0026069288213889322,True
2018-06-15,2018-06-22,2018,277.03,0.1084,0.1442,1.330258302583026,265,260.0,0.0033725319579407404,0.0,0.0033725319579407404,True
2018-06-22,2018-06-29,2018,274.76,0.1216,0.155,1.274671052631579,265,260.0,0.0336816294426486,0.0,0.0336816294426486,True
2018-06-29,2018-07-06,2018,271.34,0.1493,0.1714,1.1480241125251174,260,255.0,0.04252459384682317,0.0,0.04252459384682317,True
2018-07-06,2018-07-13,2018,275.36,0.1149,0.15710000000000002,1.3672758920800698,265,260.0,0.01668616931200774,0.0,0.01668616931200774,True
2018-07-13,2018-07-20,2018,279.56,0.1007,0.1454,1.4438927507447865,270,265.0,0.012883286302908456,0.0,0.012883286302908456,True
2018-07-20,2018-07-27,2018,279.72,0.1101,0.1508,1.3696639418710261,270,265.0,0.02129976274424708,0.0,0.02129976274424708,True
2018-07-27,2018-08-03,2018,281.46,0.1159,0.15,1.2942191544434858,270,265.0,0.010332006126745723,0.0,0.010332006126745723,True
2018-08-03,2018-08-10,2018,283.62,0.0958,0.1449,1.512526096033403,275,270.0,0.020038296924622043,0.0,0.020038296924622043,True
2018-08-10,2018-08-17,2018,283.16,0.1309,0.1522,1.1627196333078686,270,265.0,0.009444951234425708,0.0,0.009444951234425708,True
2018-08-17,2018-08-24,2018,285.02,0.1157,0.1517,1.3111495246326708,275,270.0,0.027521734412029653,0.0,0.027521734412029653,True
2018-08-24,2018-08-31,2018,287.52,0.1017,0.1482,1.4572271386430677,275,270.0,0.0018194529868609689,0.0,0.0018194529868609689,True
2018-08-31,2018-09-07,2018,290.27,0.1101,0.1515,1.3760217983651226,280,275.0,0.019651072997047173,0.0,0.019651072997047173,True
2018-09-07,2018-09-14,2018,287.53,0.1349,0.1659,1.2297998517420312,275,270.0,0.018969177027629597,0.0,0.018969177027629597,True
2018-09-14,2018-09-21,2018,290.92,0.0993,0.1437,1.447129909365559,280,275.0,0.005897116503260014,0.0,0.005897116503260014,True
2018-09-21,2018-09-28,2018,292.04,0.1063,0.1458,1.3715898400752589,280,275.0,0.004765418546804758,0.0,0.004765418546804758,True
2018-09-28,2018-10-05,2018,290.57,0.1117,0.1477,1.3222918531781558,280,275.0,0.018083597958924696,0.0,0.018083597958924696,True
2018-10-05,2018-10-12,2018,287.81,0.14859999999999998,0.1625,1.0935397039030956,275,270.0,0.030290628711634626,0.0,0.030290628711634626,True
2018-10-12,2018-10-19,2018,276.01,0.2284,0.1984,0.8686514886164624,265,260.0,0.25668530394095956,0.0,0.25668530394095956,True
2018-10-19,2018-10-26,2018,276.1797,0.2113,0.1984,0.938949361097965,265,260.0,0.19849603087507806,0.0,0.19849603087507806,True
2018-10-26,2018-11-02,2018,265.22,0.2989,0.2248,0.75209100033456,255,250.0,0.473310335189268,0.0,0.473310335189268,True
2018-11-02,2018-11-09,2018,271.8,0.21170000000000003,0.203,0.958904109589041,260,255.0,0.1566961601638086,0.0,0.1566961601638086,True
2018-11-09,2018-11-16,2018,277.82,0.1563,0.18460000000000001,1.181062060140755,265,260.0,0.031787648605430985,0.0,0.031787648605430985,True
2018-11-16,2018-11-23,2018,273.73,0.1635,0.1935,1.18348623853211,265,260.0,0.1881539324525061,1.6800000000000068,-1.4918460675475007,False
2018-11-23,2018-11-30,2018,263.32,0.21420000000000003,0.2175,1.015406162464986,255,250.0,0.3791030960346653,0.0,0.3791030960346653,True
2018-11-30,2018-12-07,2018,275.685,0.2211,0.1889,0.8543645409317052,265,260.0,0.25552850001760685,1.339999999999975,-1.0844714999823681,False
2018-12-07,2018-12-14,2018,263.66,0.2747,0.22440000000000002,0.8168911539861667,255,250.0,0.550419144584124,0.0,0.550419144584124,True
2018-12-14,2018-12-21,2018,260.57,0.2208,0.21960000000000002,0.9945652173913044,250,245.0,0.21642660367234257,5.0,-4.783573396327657,False
2018-12-21,2018-12-28,2018,240.61,0.33030000000000004,0.2623,0.7941265516197394,230,225.0,0.4062727052650885,0.0,0.4062727052650885,True
2018-12-28,2019-01-04,2018,247.73,0.3164,0.2532,0.800252844500632,240,235.0,0.6974710302478861,0.0,0.6974710302478861,True
2019-01-04,2019-01-11,2019,252.39,0.20850000000000002,0.2186,1.0484412470023978,240,235.0,0.08693366347967113,0.0,0.08693366347967113,True
2019-01-11,2019-01-18,2019,258.81,0.15960000000000002,0.1974,1.2368421052631577,250,245.0,0.13485639477567157,0.0,0.13485639477567157,True
2019-01-18,2019-01-25,2019,266.42,0.15039999999999998,0.1884,1.2526595744680853,255,250.0,0.03794290645351933,0.0,0.03794290645351933,True
2019-01-25,2019-02-01,2019,265.78,0.16390000000000002,0.1882,1.148261134838316,255,250.0,0.07628151502154823,0.0,0.07628151502154823,True
2019-02-01,2019-02-08,2019,270.08,0.1409,0.1759,1.248403122782115,260,255.0,0.056209046703569965,0.0,0.056209046703569965,True
2019-02-08,2019-02-15,2019,270.54,0.1361,0.1726,1.2681851579720793,260,255.0,0.037627777334382495,0.0,0.037627777334382495,True
2019-02-15,2019-02-22,2019,277.38,0.12179999999999999,0.1648,1.3530377668308704,265,260.0,0.007287688170113209,0.0,0.007287688170113209,True
2019-02-22,2019-03-01,2019,279.16,0.1149,0.15460000000000002,1.3455178416013927,270,265.0,0.038142514013603246,0.0,0.038142514013603246,True
2019-03-01,2019-03-08,2019,280.41,0.1133,0.15380000000000002,1.3574580759046782,270,265.0,0.016856471304149218,0.0,0.016856471304149218,True
2019-03-08,2019-03-15,2019,274.49,0.1463,0.1711,1.1695146958304852,265,260.0,0.09478159810086706,0.0,0.09478159810086706,True
2019-03-15,2019-03-22,2019,281.34,0.11220000000000001,0.14980000000000002,1.3351158645276293,270,265.0,0.008696638031609263,0.0,0.008696638031609263,True
2019-03-22,2019-03-29,2019,279.34,0.1685,0.17370000000000002,1.030860534124629,270,265.0,0.1813948030497099,0.0,0.1813948030497099,True
2019-03-29,2019-04-05,2019,282.45,0.1234,0.158,1.280388978930308,270,265.0,0.009080251608404255,0.0,0.009080251608404255,True
2019-04-05,2019-04-12,2019,288.52,0.1012,0.1506,1.4881422924901186,275,270.0,0.0007588938622353669,0.0,0.0007588938622353669,True
2019-04-12,2019-04-18,2019,290.13,0.0974,0.1446,1.484599589322382,280,275.0,0.004562068537665791,0.0,0.004562068537665791,True
2019-04-26,2019-05-03,2019,293.41,0.11810000000000001,0.1489,1.260795935647756,280,275.0,0.0048221053872882225,0.0,0.0048221053872882225,True
2019-05-03,2019-05-10,2019,293.98,0.1096,0.1507,1.375,285,280.0,0.044610251355760855,0.0,0.044610251355760855,True
2019-05-10,2019-05-17,2019,288.03,0.16570000000000001,0.16899999999999998,1.0199155099577548,275,270.0,0.050029586074815446,0.0,0.050029586074815446,True
2019-05-17,2019-05-24,2019,285.94,0.16260000000000002,0.17059999999999997,1.0492004920049198,275,270.0,0.0998326658952502,0.0,0.0998326658952502,True
2019-05-24,2019-05-31,2019,282.95,0.1536,0.1709,1.1126302083333335,270,265.0,0.030632907912106766,0.0,0.030632907912106766,True
2019-05-31,2019-06-07,2019,275.37,0.19,0.1883,0.9910526315789473,265,260.0,0.18038217869095519,0.0,0.18038217869095519,True
2019-06-07,2019-06-14,2019,287.58,0.1502,0.17149999999999999,1.1418109187749665,275,270.0,0.03565277511925935,0.0,0.03565277511925935,True
2019-06-14,2019-06-21,2019,289.23,0.1356,0.166,1.224188790560472,280,275.0,0.09902452935910433,0.0,0.09902452935910433,True
2019-06-21,2019-06-28,2019,294.0,0.1483,0.16670000000000001,1.1240728253540124,285,280.0,0.16295013051602547,0.0,0.16295013051602547,True
2019-06-28,2019-07-05,2019,293.1,0.1567,0.1606,1.0248883216336948,280,275.0,0.04042080077586052,0.0,0.04042080077586052,True
2019-07-05,2019-07-12,2019,298.27,0.1057,0.14980000000000002,1.4172185430463577,285,280.0,0.002235091849086052,0.0,0.002235091849086052,True
2019-07-12,2019-07-19,2019,300.65,0.09880000000000001,0.14800000000000002,1.4979757085020242,290,285.0,0.009254698410817025,0.0,0.009254698410817025,True
2019-07-19,2019-07-26,2019,297.26,0.1356,0.1593,1.174778761061947,285,280.0,0.028637698586141014,0.0,0.028637698586141014,True
2019-07-26,2019-08-02,2019,301.96,0.11539999999999999,0.1469,1.2729636048526864,290,285.0,0.01306465448641457,0.0,0.01306465448641457,True
2019-08-02,2019-08-09,2019,292.62,0.1769,0.1789,1.0113058224985867,280,275.0,0.08633214205793016,0.0,0.08633214205793016,True
2019-08-09,2019-08-16,2019,291.6,0.1775,0.1856,1.0456338028169014,280,275.0,0.12197382162810166,0.0,0.12197382162810166,True
2019-08-16,2019-08-23,2019,288.81,0.18359999999999999,0.19699999999999998,1.0729847494553377,280,275.0,0.3035730974615598,0.0,0.3035730974615598,True
2019-08-23,2019-08-30,2019,284.88,0.2155,0.2036,0.9447795823665893,275,270.0,0.3249019663386328,0.0,0.3249019663386328,True
2019-08-30,2019-09-06,2019,292.4527,0.18600000000000003,0.1954,1.050537634408602,280,275.0,0.1115227657993838,0.0,0.1115227657993838,True
2019-09-06,2019-09-13,2019,298.05,0.12390000000000001,0.1746,1.4092009685230023,285,280.0,0.010346861350262304,0.0,0.010346861350262304,True
2019-09-13,2019-09-20,2019,300.99,0.12619999999999998,0.16670000000000001,1.3209191759112524,290,285.0,0.0385319669241343,0.0,0.0385319669241343,True
2019-09-20,2019-09-27,2019,298.08,0.14679999999999999,0.1771,1.2064032697547686,285,280.0,0.03157866827342087,0.0,0.03157866827342087,True
2019-09-27,2019-10-04,2019,295.41,0.1677,0.1875,1.118067978533095,285,280.0,0.15585442300725427,0.0,0.15585442300725427,True
2019-10-04,2019-10-11,2019,294.3,0.16269999999999998,0.1859,1.1425937307928704,285,280.0,0.1996771124482395,0.0,0.1996771124482395,True
